kecamatan_subdistrict;name;nomor_komoditas;x2020;x2021;x2022;x2023;tabel
Bola;mangga_mango_kw_qui;1;14.100;1.680;1.680;1.394;5.7
Bola;durian_durian_kw_qui;2;-;6.432;12.000;3.770;5.7
Bola;jeruk_siam_keprok_orange_tangerine_kw_qui;3;709;920;940;819;5.7
Bola;pisang_banana_kw_qui;4;1.305;1.320;1.320;1.410;5.7
Bola;pepaya_papaya_kw_qui;5;1.050;430;363;721;5.7
Bola;salak_snakefruit_kw_qui;6;-;-;1.270;884;5.7
Bola;alpukat_avocado_kw_qui;7;4.000;4.000;4.000;2.120;5.7
Bola;jambu_biji_guava_kw_qui;8;-;-;-;-;5.7
Bola;nangka_cempedak_jackfruit_kw_qui;9;3.230;727;447;696;5.7
Bola;nenas_pineapple_kw_qui;10;148;160;254;-;5.7
Bola;rambutan_rambutan_kw_qui;11;1.495;571;466;782;5.7
Bola;salak_snakefruit_kw_qui;12;-;-;1.270;884;5.7
Bola;sirsak_soursop_kw_qui;13;-;-;-;-;5.7
Doreng;bawang_merah_shallots_ha_ha;1;4;-;-;-;5.1
Doreng;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Doreng;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;-;5.1
Doreng;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;-;-;-;5.1
Doreng;kentang_potato_ha_ha;5;-;-;-;-;5.1
Doreng;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Doreng;tomat_tomato_ha_ha;7;-;-;-;-;5.1
Doreng;bawang_putih_garlic_ha_ha;8;1;-;-;-;5.1
Doreng;bawang_merah_shallots_kw_qui;1;35;-;-;-;5.2
Doreng;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Doreng;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;-;5.2
Doreng;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;-;-;-;5.2
Doreng;kentang_potato_kw_qui;5;-;-;-;-;5.2
Doreng;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Doreng;tomat_tomato_kw_qui;7;-;-;-;-;5.2
Doreng;bawang_putih_garlic_kw_qui;8;4;-;-;-;5.2
Doreng;jahe_ginger_m2_m2;1;550;1.400;29.000;17.000;5.3
Doreng;laos_lengkuas_galanga_m2_m2;2;-;-;-;-;5.3
Doreng;kencur_east_indian_galangal_m2_m2;3;240;850;500;700;5.3
Doreng;kunyit_turmeric_m2_m2;4;750;1.500;1.200;550;5.3
Doreng;jahe_ginger_kg_kg;1;825;6.425;58.000;25.500;5.4
Doreng;laos_lengkuas_galanga_kg_kg;2;-;-;-;-;5.4
Doreng;kencur_east_indian_galangal_kg_kg;3;196;1.700;600;525;5.4
Doreng;kunyit_turmeric_kg_kg;4;915;4.980;1.800;660;5.4
Doreng;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Doreng;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
Doreng;krisan_chrysantemum_m2_m2;3;-;-;-;-;5.5
Doreng;mawar_rose_m2_m2;4;-;-;-;-;5.5
Doreng;sedap_malam_tuberose_m2_m2;5;-;-;-;-;5.5
Doreng;anthurium_bunga_flamingo_lily_flower_m2_m2;6;-;-;-;-;5.5
Doreng;bugenvil_m2_m2;7;NA;-;-;-;5.5
Doreng;palem_palm_pohon_tree;8;-;-;-;-;5.5
Doreng;pedang_pedangan_sanseviera_m2_m2;9;-;-;-;-;5.5
Doreng;pisang_pisangan_heliconia_m2_m2;10;-;-;-;-;5.5
Doreng;puring_croton_m2_m2;11;NA;-;-;-;5.5
Doreng;soka_ixora_m2_m2;12;-;-;-;-;5.5
Doreng;sri_rejeki_aglaonema_m2_m2;13;-;-;-;-;5.5
Doreng;anggrek_potong_cut_orchid_tangkai_stalks;2;NA;-;-;-;5.6
Doreng;krisan_chrysantemum_tangkai_stalks;3;-;-;-;-;5.6
Doreng;mawar_rose_tangkai_stalks;4;-;-;-;-;5.6
Doreng;sedap_malam_tuberose_tangkai_stalks;5;-;-;-;-;5.6
Doreng;anthurium_bunga_flamingo_lily_flower_tangkai_stalks;6;-;-;-;-;5.6
Doreng;bugenvil_pohon_tree;7;NA;-;-;-;5.6
Doreng;palem_palm_pohon_tree;8;-;-;-;-;5.6
Doreng;pedang_pedangan_sanseviera_rumpun_clumps;9;-;-;-;-;5.6
Doreng;pisang_pisangan_heliconia_tangkai_stalks;10;-;-;-;-;5.6
Doreng;puring_croton_pohon_tree;11;NA;-;-;-;5.6
Doreng;soka_ixora_pohon_tree;12;-;-;-;-;5.6
Doreng;sri_rejeki_aglaonema_pohon_tree;13;-;-;-;-;5.6
Doreng;mangga_mango_kw_qui;1;-;-;-;-;5.7
Doreng;durian_durian_kw_qui;2;234;708;316;266;5.7
Doreng;jeruk_siam_keprok_orange_tangerine_kw_qui;3;-;-;-;-;5.7
Doreng;pisang_banana_kw_qui;4;74;195;-;260;5.7
Doreng;pepaya_papaya_kw_qui;5;-;-;-;-;5.7
Doreng;salak_snakefruit_kw_qui;6;-;-;-;-;5.7
Doreng;alpukat_avocado_kw_qui;7;106;197;90;92;5.7
Doreng;jambu_biji_guava_kw_qui;8;-;-;-;-;5.7
Doreng;nangka_cempedak_jackfruit_kw_qui;9;-;-;-;-;5.7
Doreng;nenas_pineapple_kw_qui;10;-;-;-;-;5.7
Doreng;rambutan_rambutan_kw_qui;11;-;-;-;-;5.7
Doreng;salak_snakefruit_kw_qui;12;-;-;-;-;5.7
Doreng;sirsak_soursop_kw_qui;13;-;-;-;-;5.7
Hewokloang;bawang_merah_shallots_ha_ha;1;-;-;-;-;5.1
Hewokloang;cabai_besar_chili_big_chili_ha_ha;2;-;NA;NA;NA;5.1
Hewokloang;cabai_keriting_chili_curly_chili_ha_ha;3;NA;-;-;0;5.1
Hewokloang;cabai_rawit_chili_cayenne_pepper_ha_ha;4;-;1;-;1;5.1
Hewokloang;kentang_potato_ha_ha;5;-;-;-;-;5.1
Hewokloang;kubis_cabbage_ha_ha;6;-;-;-;-;5.1
Hewokloang;tomat_tomato_ha_ha;7;-;-;-;1;5.1
Hewokloang;bawang_putih_garlic_ha_ha;8;-;-;-;-;5.1
Hewokloang;bawang_merah_shallots_kw_qui;1;-;-;-;-;5.2
Hewokloang;cabai_besar_chili_big_chili_kw_qui;2;-;NA;NA;NA;5.2
Hewokloang;cabai_keriting_chili_curly_chili_kw_qui;3;NA;-;-;0;5.2
Hewokloang;cabai_rawit_chili_cayenne_pepper_kw_qui;4;-;24;-;3;5.2
Hewokloang;kentang_potato_kw_qui;5;-;-;-;-;5.2
Hewokloang;kubis_cabbage_kw_qui;6;-;-;-;-;5.2
Hewokloang;tomat_tomato_kw_qui;7;-;-;-;2;5.2
Hewokloang;bawang_putih_garlic_kw_qui;8;-;-;-;-;5.2
Hewokloang;jahe_ginger_m2_m2;1;3.090;3.000;4.000;4.000;5.3
Hewokloang;laos_lengkuas_galanga_m2_m2;2;3.000;5.000;6.000;4.000;5.3
Hewokloang;kencur_east_indian_galangal_m2_m2;3;3.050;5.000;6.000;3.000;5.3
Hewokloang;kunyit_turmeric_m2_m2;4;3.100;5.000;6.000;4.000;5.3
Hewokloang;jahe_ginger_kg_kg;1;5.790;12.000;6.000;4.000;5.4
Hewokloang;laos_lengkuas_galanga_kg_kg;2;3.000;27.900;9.000;4.000;5.4
Hewokloang;kencur_east_indian_galangal_kg_kg;3;5.100;27.400;9.000;3.000;5.4
Hewokloang;kunyit_turmeric_kg_kg;4;6.200;30.500;9.000;4.000;5.4
Hewokloang;anggrek_pot_orchid_potted_orchid_m2_m2;1;NA;-;-;-;5.5
Hewokloang;anggrek_potong_cut_orchid_m2_m2;2;NA;-;-;-;5.5
